Account_Length,Vmail_Message,CustServ_Calls,Churn,Intl_Plan,Vmail_Plan,Total_mins,Total_calls,Total_charges
139,0,5,yes,no,no,549.5000000000001,331,245.87
110,40,2,no,no,yes,565.3,338,292.44
110,0,3,no,no,no,477.3,323,233.24
215,0,0,no,no,no,441.8,358,264.17999999999995
73,0,1,no,no,no,510.0,295,195.63
138,0,0,no,no,no,516.7,298,252.51
137,0,2,yes,yes,no,504.6,280,270.83
36,0,1,no,no,no,720.0,333,349.06
85,0,3,no,no,no,603.3000000000002,256,258.25000000000006
108,0,0,yes,no,no,830.6,237,429.92
22,0,0,no,no,no,488.6,301,246.87
107,37,0,no,no,yes,435.1,291,295.47
51,0,0,no,no,no,658.1,223,348.14
94,0,4,no,no,no,639.3000000000002,282,307.56
119,23,2,no,no,yes,672.1999999999998,367,291.68
33,29,4,yes,no,yes,568.4,269,332.29
106,0,4,no,no,no,586.1,350,254.28
82,0,3,no,no,no,621.4,289,237.61
86,41,0,no,no,yes,595.4,296,289.91
97,0,0,no,yes,no,605.9,283,236.9
106,32,4,no,no,yes,569.6,313,231.3
108,0,1,no,no,no,552.3,334,282.88
114,0,1,no,no,no,542.5,307,241.66
92,0,1,yes,yes,no,475.3,319,260.48
59,0,1,no,no,no,568.6,286,225.75
24,25,1,no,no,yes,612.1000000000001,279,289.23
151,0,1,no,no,no,516.9,262,273.17
117,0,1,no,no,no,551.3,310,238.96
78,0,1,no,no,no,643.0,320,302.64
155,0,2,no,no,no,611.8,259,216.48
114,30,1,no,no,yes,769.1999999999997,259,364.95
114,28,4,no,no,yes,659.6,320,299.92999999999995
119,0,3,no,no,no,586.2,271,317.42999999999995
64,48,0,no,no,yes,382.5,298,182.88
118,0,2,no,yes,no,530.1,321,237.9
101,0,0,no,no,no,696.0,325,319.33
117,0,1,no,no,no,523.3000000000002,311,250.22000000000003
49,28,3,no,no,yes,663.8,298,274.08
139,0,3,no,no,no,643.4000000000002,304,268.54999999999995
92,28,1,no,no,yes,595.0999999999998,286,294.91
83,0,3,no,no,no,585.5,311,188.0
148,0,0,no,yes,no,641.3000000000002,276,270.34000000000003
144,48,2,yes,no,yes,533.9000000000002,271,268.36
131,25,2,no,no,yes,683.6999999999998,255,320.54
146,0,3,no,yes,no,656.7,345,288.92999999999995
143,0,2,no,no,no,547.5,328,244.26
81,0,2,no,no,no,613.0,278,256.47
48,37,1,no,no,yes,527.9000000000002,280,203.45
86,28,1,no,no,yes,759.3,281,315.72
71,0,3,no,no,no,667.5,278,344.94
145,24,2,no,no,yes,590.9,303,307.66
137,0,2,no,no,no,537.6999999999998,313,251.6
137,0,2,no,no,no,719.6,262,359.66
167,0,0,no,no,no,609.3000000000002,254,317.03
89,0,1,yes,no,no,882.1999999999997,301,401.41
199,34,0,no,no,yes,757.3,316,372.78
132,0,0,no,no,no,363.4,317,161.24
94,0,1,no,no,no,523.6999999999998,336,201.49
96,37,5,yes,no,yes,519.1999999999998,300,268.17
96,18,1,no,no,yes,575.4,272,314.53
166,0,1,no,no,no,610.4000000000002,381,279.13
74,0,2,no,no,no,485.9,240,187.16
36,0,0,no,no,no,594.1999999999998,275,296.89
113,0,4,no,no,no,647.9,346,273.42999999999995
94,0,1,no,no,no,675.6999999999998,305,350.28
67,0,2,no,no,no,489.4,276,245.97
127,0,1,yes,no,no,744.5000000000001,395,285.94
121,0,0,yes,no,no,829.1,266,372.15
158,0,1,no,no,no,700.7,313,306.13
136,0,1,no,no,no,570.0,294,263.71
196,0,2,no,no,no,665.7,298,244.34
113,0,1,yes,no,no,762.9000000000003,344,294.8
122,0,4,yes,no,no,656.5,298,211.66000000000003
112,0,0,no,no,no,579.5,292,243.96
209,0,3,no,no,no,677.9999999999999,298,254.74
62,0,1,yes,no,no,747.6,307,342.2
110,38,1,no,no,yes,625.4000000000002,302,251.2
16,0,0,no,no,no,606.1,229,282.3
73,0,0,no,no,no,589.1999999999998,339,256.71
128,0,0,no,no,no,603.9,319,309.69000000000005
39,0,1,no,no,no,502.9,327,169.13
103,28,2,no,no,yes,559.6,285,213.35
119,29,3,no,no,yes,529.8000000000002,259,198.15
173,21,3,no,no,yes,722.3,321,344.16
128,32,2,yes,yes,yes,576.6,258,218.46
86,0,0,no,no,no,729.1,257,354.0
114,32,1,no,no,yes,548.3,276,282.73
104,0,0,no,no,no,640.5,297,293.59
148,0,1,no,no,no,595.8,321,301.6
129,0,3,no,no,no,620.4,329,308.11
100,30,0,no,no,yes,437.70000000000016,332,189.73
121,35,1,no,no,yes,486.69999999999993,210,238.82
143,33,1,no,no,yes,640.5,320,226.58
76,0,0,no,no,no,616.3,315,252.42
158,0,0,no,no,no,539.9,294,142.51
116,0,3,no,no,no,643.1,329,197.45
54,0,1,yes,no,no,728.1999999999997,270,276.33
86,0,7,yes,no,no,476.0,371,186.48
108,0,0,no,no,no,649.3,268,269.37
66,0,1,no,no,no,594.8,266,292.92999999999995
151,17,1,no,no,yes,530.9,235,227.3
99,0,0,no,no,no,621.5,253,232.56
55,0,2,no,no,no,680.5,374,366.33
77,0,2,no,no,no,720.6,305,286.72
78,0,0,no,no,no,614.4,298,242.54
89,0,1,yes,no,no,661.3000000000002,261,328.1
101,0,1,no,no,no,725.5999999999997,372,343.31
44,34,0,no,no,yes,625.2,259,293.17999999999995
98,21,2,no,no,yes,485.5,268,281.77
64,37,1,no,no,yes,417.2,297,210.33
141,0,3,no,no,no,581.6,378,202.48
81,33,1,no,no,yes,558.1000000000001,313,314.2800000000001
162,0,1,no,no,no,573.0,338,248.63
83,41,3,no,no,yes,458.90000000000015,339,177.17999999999995
100,0,4,yes,no,no,468.6,207,284.67
59,0,4,no,no,no,628.4,307,291.73
179,38,4,no,yes,yes,701.8000000000003,238,308.05000000000007
79,0,1,no,no,no,431.1,334,143.10000000000005
117,0,2,no,no,no,605.3000000000002,274,265.44000000000005
64,0,2,yes,yes,no,662.1,261,265.12
31,0,1,no,no,no,471.8,298,261.73
124,0,1,no,yes,no,650.6999999999998,287,275.95
122,23,2,no,no,yes,492.4,315,172.34
37,39,1,no,yes,yes,484.3,291,165.30999999999997
90,29,1,no,no,yes,598.9999999999999,313,236.02
159,0,1,yes,yes,no,761.0999999999997,268,263.87
148,0,0,no,no,no,568.4,269,303.86
39,36,1,no,no,yes,608.1,370,279.17
77,0,2,no,no,no,654.0999999999998,364,374.45000000000016
194,0,0,no,no,no,579.0,289,249.43
154,0,1,yes,no,no,831.3,278,346.1
112,0,4,no,no,no,595.1,337,192.16
45,0,1,no,no,no,604.6,338,306.17
132,0,1,no,no,no,469.9,366,189.27
128,0,0,no,no,no,644.3,297,232.65
135,0,1,no,no,no,641.5,283,269.82
56,0,2,no,no,no,655.7,309,290.73
151,0,0,yes,yes,no,613.9999999999999,241,331.44
32,0,2,no,no,no,576.8,304,226.39
90,0,2,no,no,no,676.0,240,340.21
87,21,0,no,no,yes,539.1,314,195.09000000000003
138,0,2,no,no,no,487.8,321,238.42
79,0,1,no,no,no,653.0,355,291.2800000000001
95,0,1,yes,yes,no,662.1,287,263.43
127,0,2,no,no,no,621.5999999999998,313,296.66
137,0,3,no,no,no,666.4000000000002,263,289.81
97,0,1,no,no,no,561.7,319,293.75
149,0,0,no,yes,no,576.4000000000002,264,304.55
117,22,1,no,yes,yes,748.0000000000001,289,297.5
84,0,2,no,no,no,601.7,301,246.42
137,0,4,no,no,no,666.0,310,274.66
99,0,3,no,no,no,750.9,262,386.39
54,0,1,no,no,no,551.3,243,189.02
85,0,1,no,no,no,531.1,342,198.07
150,0,3,no,no,no,659.8000000000002,278,342.37
43,0,1,no,no,no,638.0000000000001,318,276.71
35,0,0,no,no,no,585.6,338,264.94
98,0,5,no,no,no,627.9,364,296.72
112,0,2,no,no,no,617.4,270,250.95
16,0,0,yes,no,no,612.3,279,233.11
98,22,0,no,no,yes,489.00000000000006,279,170.31
84,0,0,no,no,no,549.5,336,255.87
94,0,1,yes,no,no,749.9000000000003,335,308.87
84,0,1,no,no,no,507.2,363,239.16000000000003
66,0,1,yes,no,no,599.6,282,251.18
98,31,1,no,no,yes,578.5999999999998,314,279.32
74,0,0,no,no,no,582.6,333,300.77
96,26,1,no,no,yes,513.0,295,216.33
119,0,1,no,no,no,557.8000000000002,347,222.6
73,0,4,no,no,no,634.3,298,264.24
92,0,0,no,yes,no,633.1,284,268.66
21,0,0,no,no,no,509.9,272,294.51
122,0,4,yes,no,no,547.7,320,250.8
133,0,1,no,yes,no,523.9,280,186.86
145,0,2,no,no,no,556.6999999999998,339,224.51
25,0,2,no,no,no,531.4,266,256.81
64,0,2,no,no,no,482.8,268,232.66
85,0,0,no,no,no,676.3000000000002,275,242.63
126,0,3,no,no,no,651.3,329,259.23
76,0,0,no,no,no,522.9,259,271.33
113,0,2,yes,no,no,769.6999999999997,248,316.2800000000001
224,0,1,yes,yes,no,548.9,306,266.07000000000005
117,0,0,no,no,no,634.0,285,277.22
128,34,1,no,no,yes,592.4000000000002,239,295.14
115,0,2,no,no,no,731.1,283,283.18999999999994
141,28,2,no,no,yes,652.3999999999999,387,239.68
51,0,1,no,no,no,528.5999999999998,321,143.95999999999995
100,0,0,no,no,no,696.7,284,268.27
96,45,3,no,no,yes,663.0,305,332.47
112,16,1,no,no,yes,563.0999999999998,344,260.79
129,0,1,no,yes,no,594.4999999999999,366,265.93
163,0,1,no,no,no,428.5,341,222.14
67,40,1,no,no,yes,548.2,295,265.98999999999995
140,0,3,no,no,no,590.5,330,267.91
49,0,2,no,no,no,619.5,321,270.93
46,0,2,yes,no,no,719.2,296,272.07
148,0,1,no,no,no,653.3000000000002,310,246.56
112,0,1,no,no,no,697.5,270,331.17999999999995
78,0,2,no,no,no,497.7,337,207.04
61,31,0,no,no,yes,704.3000000000003,255,281.06
58,29,1,no,no,yes,534.7,282,225.59
155,0,1,no,no,no,714.2,356,284.38000000000005
100,0,0,yes,no,no,682.5,280,293.9
113,0,1,no,no,no,688.5,325,256.02
81,0,2,no,no,no,555.9,289,252.03
135,27,1,no,no,yes,685.5,358,319.75
99,0,0,no,no,no,579.1,259,204.59
59,29,1,no,no,yes,492.7,302,180.79
135,0,1,no,no,no,601.7,364,222.77
85,0,2,no,yes,no,720.1999999999997,350,412.28
70,0,0,no,no,no,536.1,301,252.65
88,0,3,no,no,no,563.0,368,233.32
55,0,2,no,no,no,620.9,348,263.6
75,0,1,no,no,no,438.5,260,153.08
79,21,4,no,no,yes,646.8,292,245.07
85,0,0,no,no,no,613.8,312,259.47
86,23,0,no,no,yes,727.3,295,318.68999999999994
91,0,0,no,no,no,662.5999999999998,317,320.12
149,20,1,no,no,yes,677.8999999999999,250,260.24
97,0,1,yes,no,no,764.1,327,302.59
88,0,1,yes,no,no,685.5,353,237.6
60,0,2,no,no,no,511.6,228,268.2
54,0,2,no,no,no,549.2,240,173.14
11,28,3,no,no,yes,597.0,291,241.14
109,0,0,no,no,no,469.1,328,205.1
90,0,1,no,no,no,628.6,328,208.6
115,0,3,no,no,no,685.6,325,360.33
144,18,1,no,no,yes,433.0,338,247.79
91,0,0,no,no,no,615.4,253,334.04
105,23,0,no,no,yes,694.5999999999997,291,338.58
71,0,3,yes,yes,no,541.7,321,238.51
132,36,3,yes,no,yes,677.0999999999998,335,327.18
112,0,1,no,no,no,640.5000000000001,278,319.04
86,32,3,no,no,yes,493.6,394,285.14
41,34,2,no,no,yes,626.7,297,226.77
44,0,1,no,no,no,656.1999999999998,337,309.23
78,0,3,no,no,no,509.2,292,220.38
149,0,1,no,no,no,393.4,273,214.92
72,33,4,yes,no,yes,581.5,278,215.55
139,20,0,no,no,yes,627.3,377,230.59
74,0,3,no,no,no,594.1,242,342.58
50,0,1,no,no,no,656.3000000000002,327,295.99
141,23,3,no,no,yes,540.1,347,271.52000000000004
140,0,1,no,no,no,617.0000000000001,358,349.59
99,0,2,no,no,no,631.2,305,332.5499999999999
166,0,1,no,no,no,559.1,262,172.89
124,0,1,no,no,no,599.1999999999998,323,309.94
74,0,0,no,no,no,594.9,280,312.4
117,0,2,no,no,no,632.0,310,273.11
85,0,3,no,no,no,688.3,310,294.0
36,16,0,no,no,yes,420.6,313,177.07999999999996
102,0,0,no,yes,no,615.0999999999998,343,215.56000000000003
76,0,0,no,no,no,751.6,346,317.71
165,0,1,no,no,no,681.1,317,297.8
130,0,1,no,no,no,579.5,298,243.16
78,0,0,no,no,no,754.3,378,353.23
55,0,1,yes,yes,no,666.0,308,271.12
92,0,2,yes,yes,no,644.9,335,302.1
129,33,2,no,no,yes,667.5999999999998,369,320.86
18,0,1,no,no,no,647.0000000000001,333,320.34
161,0,2,no,yes,no,527.1,301,232.55
93,36,2,no,no,yes,492.1,322,180.23
144,0,2,no,no,no,657.3,289,246.44
75,0,4,yes,yes,no,502.5,247,231.34000000000003
95,0,1,no,no,no,502.9,297,131.79
126,23,3,no,no,yes,557.6,323,290.23
124,28,1,no,no,yes,735.9,319,327.14
93,0,1,yes,yes,no,663.5,296,290.91
109,26,0,no,yes,yes,652.6999999999998,328,345.13
80,0,0,no,no,no,637.2,289,327.05000000000007
41,0,1,no,no,no,558.2,222,314.47
136,31,2,no,no,yes,618.9,278,285.57
92,0,3,yes,no,no,777.4,329,356.68
143,24,1,no,no,yes,655.1,328,299.19
118,26,5,yes,no,yes,549.6,342,225.93
193,17,1,no,no,yes,544.3,315,255.98
73,0,3,no,no,no,638.5999999999998,290,214.23
62,0,2,no,no,no,627.5000000000001,296,300.89
30,30,0,no,no,yes,665.0000000000001,267,294.33
60,29,0,yes,yes,yes,603.8,301,180.28
148,14,1,no,no,yes,449.8,298,188.53
96,0,2,no,no,no,595.5,309,235.56
52,0,2,no,no,no,506.0999999999999,324,181.47
87,0,1,no,no,no,575.3,294,228.3
41,0,3,no,no,no,479.20000000000016,296,168.60000000000005
112,0,1,no,no,no,558.4,302,197.49
88,0,4,yes,no,no,482.5,247,278.77
122,27,7,no,no,yes,682.6,321,264.16
61,0,2,no,no,no,359.00000000000006,282,182.94
87,0,1,no,no,no,483.7,355,128.17
176,0,2,no,no,no,388.8,330,195.6
30,0,0,no,no,no,614.0999999999998,325,257.88
95,22,0,no,no,yes,450.4,314,297.59
46,0,2,no,no,no,490.00000000000006,352,245.18
100,0,0,no,yes,no,622.9,333,258.0
47,37,2,no,no,yes,606.4,270,289.61
77,0,2,no,no,no,622.2,270,292.04
98,38,2,no,no,yes,685.1,243,277.78
125,36,1,no,no,yes,374.6,302,170.63000000000005
67,0,4,no,no,no,632.6,329,318.49
194,0,1,no,no,no,566.2,327,265.36
128,40,1,no,no,yes,527.7,296,250.92
190,22,0,no,no,yes,479.0,290,172.61
165,0,0,no,no,no,644.4999999999999,361,291.2
59,0,2,no,no,no,551.8,333,266.7
47,28,1,no,no,yes,430.6,288,159.02
150,29,0,no,no,yes,516.4,243,199.18
152,20,9,yes,yes,yes,770.3,297,342.87999999999994
26,0,3,no,no,no,646.1,338,259.44
79,31,3,no,no,yes,434.7,325,121.32
95,27,1,no,no,yes,658.3,314,326.45
69,0,2,yes,yes,no,707.9,309,249.67
95,41,5,yes,yes,yes,481.6,228,182.83
31,31,0,no,no,yes,607.3,285,306.03
121,31,4,no,no,yes,649.5,270,266.07
111,0,4,yes,no,no,522.6,273,213.02
157,0,2,no,no,no,553.3,330,180.19
44,0,3,yes,no,no,748.7,298,274.72
61,0,2,no,yes,no,392.20000000000016,358,145.53
65,0,2,no,no,no,569.9000000000002,287,206.96
74,25,2,no,no,yes,503.1,264,230.21
123,0,0,no,no,no,702.2,293,293.29
58,20,1,no,no,yes,654.3,293,301.05
74,0,2,yes,no,no,691.0999999999997,318,322.37
125,0,2,no,no,no,584.4000000000002,322,358.17999999999995
80,0,1,no,no,no,653.4000000000002,301,306.47
53,18,0,no,no,yes,642.7,328,239.99
99,28,1,no,no,yes,646.6999999999998,311,239.51
99,0,1,no,no,no,485.6,300,277.24
66,29,2,no,no,yes,726.3,308,304.9600000000001
97,0,3,no,no,no,527.7,282,181.75
75,37,2,no,no,yes,652.8999999999999,309,306.67
85,0,2,no,yes,no,554.9,295,207.41
108,0,2,no,no,no,607.5,282,216.54
133,32,2,yes,yes,yes,670.3,348,240.77
51,0,1,no,no,no,575.8999999999999,316,246.0
186,26,2,no,no,yes,562.4000000000002,316,341.25000000000006
