model,year,price,transmission,mileage,fuelType,mpg,engineSize
 Fabia,2019,9995,Manual,11125,Petrol,57.7,1.0
 Scala,2019,17485,Semi-Auto,1901,Petrol,45.6,1.5
 Superb,2019,24495,Semi-Auto,661,Diesel,62.8,2.0
 Yeti Outdoor,2017,12789,Manual,21803,Diesel,62.8,2.0
 Kodiaq,2018,22498,Automatic,17849,Petrol,44.8,1.4
 Kodiaq,2019,33998,Automatic,4986,Diesel,35.3,2.0
 Octavia,2016,11890,Semi-Auto,22472,Diesel,64.2,2.0
 Octavia,2017,12695,Manual,14208,Petrol,58.9,1.0
 Kodiaq,2019,19995,Manual,22190,Petrol,34.5,1.5
 Kodiaq,2019,28490,Manual,1809,Diesel,52.3,2.0
 Superb,2019,26000,Semi-Auto,2534,Diesel,47.1,2.0
 Scala,2019,18995,Manual,1000,Diesel,57.7,1.6
 Superb,2019,28295,Semi-Auto,500,Petrol,38.2,2.0
 Octavia,2019,20490,Manual,150,Diesel,54.3,2.0
 Octavia,2019,22390,Semi-Auto,1000,Diesel,54.3,2.0
 Kamiq,2020,23295,Semi-Auto,500,Petrol,43.5,1.5
 Octavia,2017,10995,Manual,37398,Diesel,70.6,2.0
 Superb,2018,15395,Manual,24757,Diesel,65.7,2.0
 Fabia,2015,7995,Manual,17866,Petrol,60.1,1.2
 Citigo,2016,6250,Manual,16093,Petrol,62.8,1.0
 Octavia,2018,11800,Manual,5614,Petrol,58.9,1.0
 Superb,2018,15995,Manual,21322,Diesel,64.2,2.0
 Superb,2017,16995,Manual,39780,Diesel,64.2,2.0
 Octavia,2018,12498,Manual,17739,Diesel,68.9,1.6
 Karoq,2018,17298,Manual,12008,Diesel,62.8,1.6
 Karoq,2018,18798,Manual,15901,Petrol,51.4,1.5
 Octavia,2016,9298,Manual,53617,Petrol,55.4,1.4
 Superb,2016,11998,Semi-Auto,59585,Diesel,62.8,2.0
 Yeti Outdoor,2017,12500,Manual,29637,Diesel,62.8,2.0
 Citigo,2016,5936,Manual,23757,Petrol,62.8,1.0
 Octavia,2017,12250,Manual,28713,Diesel,70.6,2.0
 Octavia,2018,14998,Manual,33081,Diesel,62.8,2.0
 Citigo,2017,7295,Manual,6889,Petrol,64.2,1.0
 Superb,2019,23495,Semi-Auto,136,Diesel,62.8,2.0
 Kodiaq,2017,16995,Manual,18652,Petrol,46.3,1.4
 Yeti Outdoor,2017,12500,Manual,19298,Petrol,51.4,1.2
 Superb,2019,18998,Semi-Auto,8545,Diesel,62.8,2.0
 Octavia,2018,12698,Manual,12290,Diesel,68.9,1.6
 Superb,2017,17304,Semi-Auto,27973,Petrol,45.6,2.0
 Rapid,2018,10895,Manual,15258,Petrol,61.4,1.0
 Fabia,2017,8976,Manual,42007,Diesel,70.6,1.4
 Yeti Outdoor,2017,13618,Semi-Auto,39885,Diesel,51.4,2.0
 Fabia,2016,7790,Manual,22150,Petrol,60.1,1.2
 Scala,2020,19952,Manual,1652,Petrol,47.9,1.5
 Fabia,2016,7862,Manual,45399,Diesel,78.6,1.4
 Fabia,2016,5860,Manual,30740,Petrol,60.1,1.0
 Citigo,2016,6373,Manual,11510,Petrol,62.8,1.0
 Fabia,2016,9125,Manual,32257,Petrol,60.1,1.2
 Yeti Outdoor,2017,11713,Manual,34989,Petrol,51.4,1.2
 Fabia,2017,8567,Manual,7130,Petrol,60.1,1.2
 Rapid,2014,6682,Manual,34200,Petrol,52.3,1.2
 Fabia,2017,8372,Manual,31398,Petrol,60.1,1.2
 Octavia,2014,8752,Manual,43756,Diesel,68.9,2.0
 Karoq,2019,27123,Automatic,4910,Diesel,42.8,2.0
 Karoq,2019,19944,Automatic,3499,Diesel,62.8,1.6
 Kodiaq,2019,29136,Automatic,7691,Diesel,37.2,2.0
 Karoq,2019,18513,Manual,7328,Diesel,62.8,1.6
 Yeti Outdoor,2014,10673,Semi-Auto,42400,Diesel,44.8,2.0
 Kodiaq,2017,17146,Manual,16425,Petrol,46.3,1.4
 Fabia,2019,11611,Manual,2407,Petrol,51.4,1.0
 Scala,2019,17925,Automatic,5860,Diesel,54.3,1.6
 Superb,2017,15968,Semi-Auto,60273,Diesel,61.4,2.0
 Octavia,2019,18738,Automatic,3461,Petrol,45.6,1.5
 Scala,2019,16713,Manual,3257,Petrol,49.6,1.0
 Kamiq,2019,17169,Manual,2300,Petrol,47.9,1.0
 Kamiq,2019,17479,Automatic,2970,Petrol,45.6,1.0
 Kamiq,2019,18944,Manual,1500,Petrol,47.1,1.0
 Fabia,2016,8100,Manual,38365,Petrol,60.1,1.2
 Fabia,2016,7584,Manual,35108,Petrol,60.1,1.2
 Citigo,2018,7900,Manual,10390,Petrol,64.2,1.0
 Kodiaq,2018,20000,Automatic,23689,Petrol,44.8,1.4
 Fabia,2018,11000,Manual,6207,Petrol,60.1,1.0
 Octavia,2019,19000,Semi-Auto,2778,Diesel,70.6,1.6
 Superb,2019,18045,Automatic,4200,Petrol,36.7,1.5
 Superb,2019,16416,Manual,4776,Petrol,40.9,1.5
 Karoq,2019,25626,Manual,3600,Diesel,42.8,2.0
 Octavia,2019,18767,Manual,2876,Diesel,53.3,2.0
 Superb,2019,24143,Automatic,6638,Diesel,48.7,2.0
 Fabia,2019,11883,Manual,2140,Petrol,61.4,1.0
 Superb,2020,28084,Semi-Auto,9500,Hybrid,188.3,1.4
 Superb,2019,26592,Semi-Auto,1949,Petrol,39.2,1.5
 Kodiaq,2019,22984,Automatic,6940,Petrol,34.0,1.5
 Fabia,2019,10167,Manual,11498,Petrol,57.7,1.0
 Kodiaq,2019,30000,Automatic,4533,Diesel,39.2,2.0
 Octavia,2019,24000,Semi-Auto,5988,Diesel,55.4,2.0
 Yeti,2013,6995,Manual,58077,Diesel,46.3,2.0
 Rapid,2016,8498,Manual,31220,Diesel,67.3,1.6
 Octavia,2018,15598,Manual,29806,Diesel,65.7,2.0
 Rapid,2019,9498,Manual,14837,Petrol,58.9,1.0
 Fabia,2016,7895,Manual,27003,Petrol,60.1,1.2
 Kodiaq,2018,20790,Automatic,32274,Diesel,49.6,2.0
 Octavia,2019,12998,Semi-Auto,8685,Petrol,61.4,1.0
 Fabia,2019,10112,Manual,12395,Petrol,57.7,1.0
 Octavia,2019,14750,Semi-Auto,11548,Diesel,70.6,1.6
 Octavia,2019,14937,Semi-Auto,10429,Petrol,57.7,1.0
 Fabia,2019,10207,Manual,12523,Petrol,57.7,1.0
 Fabia,2019,10216,Manual,10720,Petrol,57.7,1.0
 Kodiaq,2019,25971,Automatic,14507,Petrol,31.7,2.0
 Kodiaq,2019,25226,Manual,15,Diesel,42.2,2.0
 Fabia,2019,11998,Manual,15,Petrol,51.4,1.0
 Octavia,2019,24698,Semi-Auto,15,Petrol,47.9,2.0
 Scala,2019,18498,Semi-Auto,15,Diesel,54.3,1.6
 Fabia,2019,14298,Manual,15,Petrol,61.4,1.0
 Fabia,2019,14499,Manual,2841,Petrol,60.1,1.0
 Superb,2019,26000,Semi-Auto,2566,Petrol,38.2,2.0
 Octavia,2020,21000,Manual,108,Diesel,54.3,2.0
 Yeti,2013,8000,Manual,59006,Diesel,47.1,2.0
 Karoq,2019,30000,Manual,766,Diesel,42.8,2.0
 Octavia,2019,16500,Manual,4301,Petrol,60.1,1.0
 Scala,2019,18000,Semi-Auto,1211,Petrol,45.6,1.5
 Superb,2019,17498,Semi-Auto,14831,Petrol,36.7,1.5
 Octavia,2015,9498,Manual,46709,Diesel,68.9,2.0
 Kodiaq,2017,19498,Automatic,17984,Diesel,56.5,2.0
 Fabia,2016,9655,Manual,14946,Petrol,60.1,1.2
 Octavia,2017,11903,Manual,30465,Petrol,54.3,1.4
 Citigo,2016,5967,Manual,42877,Petrol,62.8,1.0
 Kodiaq,2019,24798,Automatic,9049,Diesel,42.2,2.0
 Superb,2019,18498,Manual,20632,Diesel,64.2,2.0
 Fabia,2017,8600,Manual,12141,Petrol,60.1,1.2
 Fabia,2016,5998,Manual,43562,Petrol,60.1,1.0
 Kodiaq,2019,25998,Manual,2422,Diesel,52.3,2.0
 Octavia,2017,10498,Manual,48067,Diesel,74.3,1.6
 Octavia,2019,12798,Semi-Auto,13763,Petrol,61.4,1.0
 Yeti Outdoor,2017,12998,Semi-Auto,18166,Petrol,51.4,1.2
 Octavia,2014,8498,Manual,52847,Diesel,68.9,2.0
 Octavia,2016,10498,Manual,39711,Diesel,70.6,2.0
 Superb,2019,16498,Manual,50,Petrol,40.9,1.5
 Octavia,2019,17998,Semi-Auto,50,Petrol,47.9,2.0
 Octavia,2019,18498,Semi-Auto,50,Diesel,67.3,2.0
 Kodiaq,2017,23498,Automatic,17816,Petrol,44.8,1.4
 Octavia,2019,23998,Semi-Auto,50,Petrol,47.9,2.0
 Superb,2016,11698,Semi-Auto,54745,Diesel,62.8,2.0
 Karoq,2019,18222,Manual,5773,Diesel,42.8,2.0
 Octavia,2019,19785,Automatic,7044,Petrol,35.8,2.0
 Superb,2020,29874,Semi-Auto,150,Petrol,38.7,2.0
 Scala,2020,16957,Manual,1652,Diesel,57.7,1.6
 Karoq,2020,19541,Manual,652,Petrol,43.5,1.0
 Superb,2020,31736,Semi-Auto,150,Diesel,47.1,2.0
 Octavia,2020,19819,Semi-Auto,1652,Diesel,54.3,2.0
 Superb,2019,21998,Semi-Auto,1989,Diesel,47.9,1.6
 Superb,2016,12998,Manual,31315,Diesel,68.9,2.0
 Yeti Outdoor,2017,12789,Manual,21803,Diesel,62.8,2.0
 Fabia,2016,6934,Manual,32513,Petrol,60.1,1.2
 Citigo,2017,7999,Manual,6918,Petrol,68.9,1.0
 Fabia,2019,11980,Manual,14548,Petrol,61.4,1.0
 Octavia,2015,14577,Manual,30959,Diesel,62.8,2.0
 Kodiaq,2019,21798,Automatic,16004,Petrol,34.0,1.5
 Karoq,2019,20498,Manual,101,Diesel,50.4,2.0
 Citigo,2016,6698,Manual,15118,Petrol,62.8,1.0
 Octavia,2016,11298,Manual,22044,Petrol,55.4,1.4
 Superb,2016,14698,Manual,26406,Diesel,68.9,2.0
 Superb,2017,14498,Semi-Auto,19674,Diesel,70.6,1.6
 Superb,2015,12998,Manual,43865,Diesel,67.3,2.0
 Octavia,2017,11998,Semi-Auto,18182,Diesel,72.4,1.6
 Octavia,2019,13298,Semi-Auto,17570,Diesel,72.4,1.6
 Kodiaq,2019,21798,Automatic,14971,Petrol,34.0,1.5
 Octavia,2018,12998,Manual,9501,Petrol,60.1,1.0
 Octavia,2016,10710,Semi-Auto,46770,Diesel,64.2,2.0
 Superb,2016,14998,Manual,19932,Diesel,68.9,2.0
 Superb,2016,11398,Manual,58222,Diesel,76.4,1.6
 Fabia,2015,7400,Manual,32624,Diesel,83.1,1.4
 Yeti Outdoor,2017,14498,Semi-Auto,13292,Petrol,51.4,1.2
 Superb,2018,20498,Semi-Auto,13777,Petrol,43.5,2.0
 Octavia,2016,10498,Semi-Auto,35013,Petrol,58.9,1.4
 Octavia,2017,12998,Semi-Auto,36620,Diesel,62.8,2.0
 Octavia,2016,10998,Manual,40211,Petrol,54.3,1.4
 Fabia,2015,7498,Manual,45262,Diesel,80.7,1.4
 Octavia,2018,11998,Manual,21831,Diesel,68.9,1.6
 Citigo,2016,6298,Manual,27122,Petrol,68.9,1.0
 Octavia,2016,8998,Manual,41649,Diesel,74.3,1.6
 Octavia,2019,13398,Manual,15938,Petrol,60.1,1.0
 Fabia,2019,9398,Manual,12089,Petrol,57.7,1.0
 Superb,2019,21998,Semi-Auto,6299,Petrol,36.7,1.5
 Octavia,2016,12387,Manual,46557,Diesel,64.2,2.0
 Octavia,2018,12297,Manual,15740,Petrol,58.9,1.0
 Karoq,2018,17510,Automatic,14360,Petrol,54.3,1.0
 Fabia,2016,8557,Manual,17228,Petrol,60.1,1.2
 Octavia,2016,15516,Semi-Auto,30738,Diesel,56.5,2.0
 Karoq,2018,19911,Automatic,11615,Petrol,51.4,1.5
 Fabia,2017,10214,Semi-Auto,21419,Petrol,60.1,1.2
 Yeti Outdoor,2016,9679,Manual,66677,Diesel,53.3,2.0
 Kodiaq,2018,18043,Manual,9044,Petrol,46.3,1.4
 Scala,2019,15495,Manual,1813,Diesel,57.7,1.6
 Superb,2019,21995,Automatic,2000,Diesel,49.6,1.6
 Octavia,2019,13898,Semi-Auto,15687,Petrol,61.4,1.0
 Octavia,2019,13398,Manual,14108,Petrol,60.1,1.0
 Fabia,2018,9298,Manual,6108,Petrol,57.7,1.0
 Octavia,2018,13498,Manual,15394,Diesel,67.3,1.6
 Octavia,2018,13598,Manual,13730,Diesel,67.3,1.6
 Octavia,2019,13498,Manual,14385,Petrol,60.1,1.0
 Fabia,2019,8898,Manual,11427,Petrol,57.7,1.0
 Octavia,2019,14898,Semi-Auto,18071,Diesel,70.6,1.6
 Kodiaq,2019,24498,Automatic,16091,Diesel,42.2,2.0
 Scala,2019,18995,Automatic,1500,Petrol,47.1,1.0
 Scala,2019,17995,Manual,2000,Diesel,57.7,1.6
 Scala,2019,16295,Manual,100,Diesel,57.7,1.6
 Octavia,2017,12095,Manual,11354,Petrol,58.9,1.0
 Octavia,2019,14295,Manual,7600,Petrol,60.1,1.0
 Kodiaq,2019,31995,Automatic,7500,Diesel,37.2,2.0
 Citigo,2019,9295,Manual,4163,Petrol,67.3,1.0
 Octavia,2017,9895,Manual,41116,Petrol,58.9,1.0
 Fabia,2019,8898,Manual,10450,Petrol,57.7,1.0
 Superb,2015,14998,Semi-Auto,24617,Diesel,62.8,2.0
 Fabia,2017,11698,Semi-Auto,6429,Petrol,60.1,1.2
 Citigo,2014,4698,Manual,54917,Petrol,62.8,1.0
 Fabia,2016,7998,Manual,29947,Petrol,60.1,1.2
 Citigo,2014,3998,Manual,63589,Petrol,62.8,1.0
 Octavia,2018,12498,Manual,8356,Petrol,60.1,1.0
 Octavia,2019,14898,Semi-Auto,13845,Diesel,70.6,1.6
 Superb,2020,28785,Semi-Auto,1548,Hybrid,188.3,1.4
 Fabia,2019,11291,Manual,1470,Petrol,61.4,1.0
 Fabia,2017,10385,Semi-Auto,27093,Petrol,61.4,1.0
 Octavia,2015,12485,Manual,51015,Diesel,64.2,2.0
 Octavia,2019,13998,Manual,11739,Diesel,68.9,1.6
 Octavia,2018,13498,Manual,17504,Diesel,67.3,1.6
 Yeti,2016,9998,Manual,36761,Diesel,62.8,2.0
 Citigo,2017,8995,Automatic,8167,Petrol,64.2,1.0
 Kodiaq,2017,16495,Manual,20922,Petrol,46.3,1.4
 Fabia,2017,8295,Manual,5436,Petrol,60.1,1.2
